"","CSN","STATE","NAME","GEO_ID","LocalTax","MedianIncome","Area_Code","St","Cnty","St_Name","Annual_Average_Establishment_Count","Annual_Average_Employment","Annual_Total_Wages","Annual_Average_Weekly_Wage","Annual_Average_Pay","Total_Wage_Location_Quotient_Relative_to_US","Employment_Location_Quotient_Relative_to_US","LAUS Code","State FIPS Code","County FIPS Code","STATE_GEO_ID","Year","Labor Force","Employed","Unemployed","Unemployment Rate","StateTax","StateMeanLocalTax","StateCombinedMeanTax","Geo Id","Ton-miles (millions)","Coefficient of variation for Ton-miles","Tons (thousands)","Tons (percent change)","Standard error for Tons (percent change)","Coefficient of variation for Tons","Value ($ million)","Value (percent change)","Standard error for Value (percent change)","Coefficient of variation for Value","2007 Tons (thousands)","2007 Coefficient of variation for Tons","2007 Value ($ million)","2007 Coefficient of variation for Value"
"1","Autauga County Alabama","Alabama","Autauga County","0500000US01001",4.942,NA,"01001","01","001","Alabama",871,10974,421471042,739,38407,101,101,"CN0100100000000","01","001","Autauga County, AL","2019",26172,25458,714,2.7,4,4.91,8.91,"0400000US01",8362,26.3,13020,0.6,38.4,29.5,17453,17.7,28.2,18.1,12940,24.2,14828,15.7
"2","Baldwin County Alabama","Alabama","Baldwin County","0500000US01003",4.674,"27772","01003","01","003","Alabama",6305,74051,2724884967,708,36797,101,101,"CN0100300000000","01","003","Baldwin County, AL","2019",97328,94675,2653,2.7,4,4.91,8.91,"0400000US01",8362,26.3,13020,0.6,38.4,29.5,17453,17.7,28.2,18.1,12940,24.2,14828,15.7
"3","Barbour County Alabama","Alabama","Barbour County","0500000US01005",5.045,NA,"01005","01","005","Alabama",555,8113,309995639,735,38208,101,101,"CN0100500000000","01","005","Barbour County, AL","2019",8537,8213,324,3.8,4,4.91,8.91,"0400000US01",8362,26.3,13020,0.6,38.4,29.5,17453,17.7,28.2,18.1,12940,24.2,14828,15.7
"4","Bibb County Alabama","Alabama","Bibb County","0500000US01007",4.89,NA,"01007","01","007","Alabama",374,4215,168991784,771,40089,101,101,"CN0100700000000","01","007","Bibb County, AL","2019",8685,8419,266,3.1,4,4.91,8.91,"0400000US01",8362,26.3,13020,0.6,38.4,29.5,17453,17.7,28.2,18.1,12940,24.2,14828,15.7
"5","Blount County Alabama","Alabama","Blount County","0500000US01009",4.701,NA,"01009","01","009","Alabama",780,8535,303943040,685,35611,101,101,"CN0100900000000","01","009","Blount County, AL","2019",25331,24655,676,2.7,4,4.91,8.91,"0400000US01",8362,26.3,13020,0.6,38.4,29.5,17453,17.7,28.2,18.1,12940,24.2,14828,15.7
"6","Bullock County Alabama","Alabama","Bullock County","0500000US01011",5.006,NA,"01011","01","011","Alabama",163,2972,104192033,674,35053,101,101,"CN0101100000000","01","011","Bullock County, AL","2019",4818,4643,175,3.6,4,4.91,8.91,"0400000US01",8362,26.3,13020,0.6,38.4,29.5,17453,17.7,28.2,18.1,12940,24.2,14828,15.7
"7","Butler County Alabama","Alabama","Butler County","0500000US01013",5.02,NA,"01013","01","013","Alabama",481,6748,235096002,670,34840,101,101,"CN0101300000000","01","013","Butler County, AL","2019",9263,8925,338,3.6,4,4.91,8.91,"0400000US01",8362,26.3,13020,0.6,38.4,29.5,17453,17.7,28.2,18.1,12940,24.2,14828,15.7
"8","Calhoun County Alabama","Alabama","Calhoun County","0500000US01015",4.62,"22154","01015","01","015","Alabama",2546,44436,1762869274,763,39672,101,101,"CN0101500000000","01","015","Calhoun County, AL","2019",46209,44574,1635,3.5,4,4.91,8.91,"0400000US01",8362,26.3,13020,0.6,38.4,29.5,17453,17.7,28.2,18.1,12940,24.2,14828,15.7
"9","Chambers County Alabama","Alabama","Chambers County","0500000US01017",5.33,NA,"01017","01","017","Alabama",603,8351,317688420,732,38042,101,101,"CN0101700000000","01","017","Chambers County, AL","2019",15748,15286,462,2.9,4,4.91,8.91,"0400000US01",8362,26.3,13020,0.6,38.4,29.5,17453,17.7,28.2,18.1,12940,24.2,14828,15.7
"10","Cherokee County Alabama","Alabama","Cherokee County","0500000US01019",5.008,NA,"01019","01","019","Alabama",417,5268,181510335,663,34454,101,101,"CN0101900000000","01","019","Cherokee County, AL","2019",11604,11266,338,2.9,4,4.91,8.91,"0400000US01",8362,26.3,13020,0.6,38.4,29.5,17453,17.7,28.2,18.1,12940,24.2,14828,15.7
"11","Chilton County Alabama","Alabama","Chilton County","0500000US01021",4.888,NA,"01021","01","021","Alabama",802,9511,359546848,727,37804,101,101,"CN0102100000000","01","021","Chilton County, AL","2019",19818,19280,538,2.7,4,4.91,8.91,"0400000US01",8362,26.3,13020,0.6,38.4,29.5,17453,17.7,28.2,18.1,12940,24.2,14828,15.7
"12","Choctaw County Alabama","Alabama","Choctaw County","0500000US01023",5.079,NA,"01023","01","023","Alabama",311,3761,189889984,971,50487,101,101,"CN0102300000000","01","023","Choctaw County, AL","2019",4670,4452,218,4.7,4,4.91,8.91,"0400000US01",8362,26.3,13020,0.6,38.4,29.5,17453,17.7,28.2,18.1,12940,24.2,14828,15.7
"13","Clarke County Alabama","Alabama","Clarke County","0500000US01025",4.76,NA,"01025","01","025","Alabama",653,8016,322720771,774,40257,101,101,"CN0102500000000","01","025","Clarke County, AL","2019",7557,7121,436,5.8,4,4.91,8.91,"0400000US01",8362,26.3,13020,0.6,38.4,29.5,17453,17.7,28.2,18.1,12940,24.2,14828,15.7
